datetime,district,temperature,humidity,rainfall
2026-05-04T08:00,Barguna,29.0,82,0.1
2026-05-04T09:00,Barguna,30.0,76,0.1
2026-05-04T10:00,Barguna,30.2,71,0.9
2026-05-04T11:00,Barguna,30.5,72,1.2
2026-05-04T12:00,Barguna,30.0,68,0.2
2026-05-04T13:00,Barguna,27.5,74,0.9
2026-05-04T14:00,Barguna,29.3,70,0.0
2026-05-04T15:00,Barguna,29.9,70,0.0
2026-05-04T16:00,Barguna,29.6,70,0.0
2026-05-04T17:00,Barguna,28.6,73,0.0
2026-05-04T18:00,Barguna,28.1,77,0.0
2026-05-04T19:00,Barguna,27.0,80,0.0
2026-05-04T20:00,Barguna,26.4,83,0.0
2026-05-04T21:00,Barguna,25.6,87,0.0
2026-05-04T22:00,Barguna,25.1,92,0.0
2026-05-04T23:00,Barguna,25.0,93,0.0
2026-05-05T00:00,Barguna,24.6,96,0.0
2026-05-05T01:00,Barguna,24.2,97,0.0
2026-05-05T02:00,Barguna,23.9,99,0.0
2026-05-05T03:00,Barguna,23.8,99,0.0
2026-05-05T04:00,Barguna,23.8,98,0.0
2026-05-05T05:00,Barguna,23.5,96,0.4
